type,title,description,source,trendlink,rank,scrapeid,timestamp
Politics,Doug Ford Jr.,Doug Ford campaign confirms actors were hired to play the part of PC supporters at Monday’s debate rally,msn.com,https://www.facebook.com/topic/Doug-Ford-Jr/105607439473127?source=whfrt&position=1010&trqid=6553369202344979434&impressionguid=047nbtie4gbyArf5o,10,1,2018-05-08T19:19:40.445974
Science and Technology,Android P,Android blatantly copies the iPhone X navigation gestures,social.techcrunch.com,https://www.facebook.com/topic/Android-P/112145925469595?source=whfrt&position=3001&trqid=6553369206572037349&impressionguid=07NWWrE7GGpn0avi5,1,1,2018-05-08T19:19:44.424599
Science and Technology,Uber,Uber reveals its latest ‘flying car’ prototype for aerial taxi service,msn.com,https://www.facebook.com/topic/Uber/176794885724034?source=whfrt&position=3002&trqid=6553369206572037349&impressionguid=07NWWrE7GGpn0avi5,2,1,2018-05-08T19:19:44.424599
Science and Technology,Facebook,Facebook undergoes a huge executive reshuffle,social.techcrunch.com,https://www.facebook.com/topic/Facebook/254174568100078?source=whfrt&position=3003&trqid=6553369206572037349&impressionguid=07NWWrE7GGpn0avi5,3,1,2018-05-08T19:19:44.424599
Science and Technology,Google I/O,Google I/O 2018: Watch the keynote live right here,androidauthority.com,https://www.facebook.com/topic/Google-IO/412198698862630?source=whfrt&position=3004&trqid=6553369206572037349&impressionguid=07NWWrE7GGpn0avi5,4,1,2018-05-08T19:19:44.424599
Science and Technology,Nintendo Switch,Nintendo is finally giving players control over their game saves,cnet.com,https://www.facebook.com/topic/Nintendo-Switch/1236474786425077?source=whfrt&position=3005&trqid=6553369206572037349&impressionguid=07NWWrE7GGpn0avi5,5,1,2018-05-08T19:19:44.424599
Science and Technology,Microsoft,Microsoft Is Integrating Windows 10 with Your Phone,uk.news.yahoo.com,https://www.facebook.com/topic/Microsoft/410090409075523?source=whfrt&position=3006&trqid=6553369206572037349&impressionguid=07NWWrE7GGpn0avi5,6,1,2018-05-08T19:19:44.424599
Science and Technology,Google Lens,Google Lens gets integrated into the camera app,cnet.com,https://www.facebook.com/topic/Google-Lens/136016036574138?source=whfrt&position=3007&trqid=6553369206572037349&impressionguid=07NWWrE7GGpn0avi5,7,1,2018-05-08T19:19:44.424599
Science and Technology,Cyberwarfare by Russia,"Report: Russians Posed as ISIS Hackers, Threatened U.S. Military Wives",thedailybeast.com,https://www.facebook.com/topic/Cyberwarfare-by-Russia/111818422168340?source=whfrt&position=3008&trqid=6553369206572037349&impressionguid=07NWWrE7GGpn0avi5,8,1,2018-05-08T19:19:44.424599
Science and Technology,Ireland,Facebook Bans Foreign Advertisers for Ireland Abortion Referendum,nytimes.com,https://www.facebook.com/topic/Ireland/1454186178172239?source=whfrt&position=3009&trqid=6553369206572037349&impressionguid=07NWWrE7GGpn0avi5,9,1,2018-05-08T19:19:44.424599
Science and Technology,Gboard,Google adds Morse code input to Gboard,social.techcrunch.com,https://www.facebook.com/topic/Gboard/1634821950167456?source=whfrt&position=3010&trqid=6553369206572037349&impressionguid=07NWWrE7GGpn0avi5,10,1,2018-05-08T19:19:44.424599
Sports,Ohio State Buckeyes Football,"Ohio State QB Joe Burrow announces transfer: Three things to know, possible destinations",cbssports.com,https://www.facebook.com/topic/Ohio-State-Buckeyes-Football/105544726146813?source=whfrt&position=4001&trqid=6553369206525301041&impressionguid=08vBWspsLAmyO03Ww,1,1,2018-05-08T19:19:47.987605
Sports,Matt Harvey,MLB Trade: Mets ship Matt Harvey to Reds in exchange for Devin Mesoraco,cbssports.com,https://www.facebook.com/topic/Matt-Harvey/169890506388904?source=whfrt&position=4002&trqid=6553369206525301041&impressionguid=08vBWspsLAmyO03Ww,2,1,2018-05-08T19:19:47.987605
Sports,New York Yankees vs. Boston Red Sox,The Yankees-Red Sox rivalry is back: The Red Sox perspective,sbnation.com,https://www.facebook.com/topic/New-York-Yankees-vs-Boston-Red-Sox/113224035357723?source=whfrt&position=4003&trqid=6553369206525301041&impressionguid=08vBWspsLAmyO03Ww,3,1,2018-05-08T19:19:47.987605
Sports,Dana White,Dana White: UFC Working on Georges St-Pierre vs. Nate Diaz Fight,bleacherreport.com,https://www.facebook.com/topic/Dana-White/107711482584963?source=whfrt&position=4004&trqid=6553369206525301041&impressionguid=08vBWspsLAmyO03Ww,4,1,2018-05-08T19:19:47.987605
Sports,Roberto Osuna,Blue Jays closer Roberto Osuna charged with assault by Toronto police,msn.com,https://www.facebook.com/topic/Roberto-Osuna/112394542107177?source=whfrt&position=4005&trqid=6553369206525301041&impressionguid=08vBWspsLAmyO03Ww,5,1,2018-05-08T19:19:47.987605
Sports,ESPN+,"UFC, ESPN+ reach multiyear deal for live fights",espn.com,https://www.facebook.com/topic/ESPN/106094522755603?source=whfrt&position=4006&trqid=6553369206525301041&impressionguid=08vBWspsLAmyO03Ww,6,1,2018-05-08T19:19:47.987605
Sports,Mark Ingram Jr.,"Mark Ingram suspended, Saints leading rusher out first four games of 2018 season",cbssports.com,https://www.facebook.com/topic/Mark-Ingram-Jr/220383794673142?source=whfrt&position=4007&trqid=6553369206525301041&impressionguid=08vBWspsLAmyO03Ww,7,1,2018-05-08T19:19:47.987605
Sports,Toronto Raptors vs. Cleveland Cavaliers,"2018 NBA Playoffs: Raptors vs. Cavaliers live scores, Game 4 updates, highlights, schedule and analysis",cbssports.com,https://www.facebook.com/topic/Toronto-Raptors-vs-Cleveland-Cavaliers/113209985359330?source=whfrt&position=4008&trqid=6553369206525301041&impressionguid=08vBWspsLAmyO03Ww,8,1,2018-05-08T19:19:47.987605
Sports,Johnny Manziel,Johnny Manziel Hospitalized After Reaction to Medication,bleacherreport.com,https://www.facebook.com/topic/Johnny-Manziel/109430072417331?source=whfrt&position=4009&trqid=6553369206525301041&impressionguid=08vBWspsLAmyO03Ww,9,1,2018-05-08T19:19:47.987605
Sports,Kurt Warner,Warner talked to NFL coach about playing in 2018,msn.com,https://www.facebook.com/topic/Kurt-Warner/104116819624590?source=whfrt&position=4010&trqid=6553369206525301041&impressionguid=08vBWspsLAmyO03Ww,10,1,2018-05-08T19:19:47.987605
Entertainment,Bill & Ted,Keanu Reeves and Alex Winter Reteaming for 'Bill & Ted 3',hollywoodreporter.com,https://www.facebook.com/topic/Bill-Ted/106012472763750?source=whfrt&position=5001&trqid=6553369206691147903&impressionguid=0ObqoHMMMPbpcWjvw,1,1,2018-05-08T19:19:52.251177
Entertainment,Cate Blanchett,Blanchett hopes for Cannes equality,bbc.com,https://www.facebook.com/topic/Cate-Blanchett/1415797305301487?source=whfrt&position=5002&trqid=6553369206691147903&impressionguid=0ObqoHMMMPbpcWjvw,2,1,2018-05-08T19:19:52.251177
Entertainment,Fortnite,How Fortnite’s Avengers Infinity Gauntlet Mode Works,gamerant.com,https://www.facebook.com/topic/Fortnite/353688017990996?source=whfrt&position=5003&trqid=6553369206691147903&impressionguid=0ObqoHMMMPbpcWjvw,3,1,2018-05-08T19:19:52.251177
Entertainment,Donald Glover,How Childish Gambino’s ‘This Is America’ Indicts and…,thedailybeast.com,https://www.facebook.com/topic/Donald-Glover/1829392170627205?source=whfrt&position=5004&trqid=6553369206691147903&impressionguid=0ObqoHMMMPbpcWjvw,4,1,2018-05-08T19:19:52.251177
